level,word,pronounciation,meaning,Example
Level 1,antler,ant-luh,"noun: a long, hard, branch-like horn on the head of a male deer and other similar animals",The deer had trapped itself by getting its antler caught in the fence.
Level 1,bang,bang,noun: a sudden loud noise,There was a loud bang when the car's tyre got a puncture.
Level 1,barn,bahn,noun: a building to store hay or to shelter animals,We had a good store of hay in the barn to use over the winter.
Level 1,basket,bahs-kuht,noun: a woven container for storing or carrying things,The basket had a big hole in the bottom of it so it wasn't very useful.
Level 1,black,blak,"adjective: completely dark, or without colour and brightness",All of the stage crew for the play have to wear black clothes so they don't get noticed.
Level 1,broad,brawd,adjective: very wide,The chest of drawers was too broad to fit through the bedroom door so we had to leave it in the hallway.
Level 1,cabin,kab-uhn,noun: a small house,The old man lived in a cabin in the bush.
Level 1,chess,chess,"noun: a game played by two people, each with sixteen pieces, on a board marked with squares",My favourite piece in chess is the knight because I like horses.
Level 1,chin,chin,noun: the part of the face below the mouth,He rested his chin on his hand while he read the paper.
Level 1,dawn,dawn,noun: the time of day when it begins to get light,I had to get up at dawn to go on the school camp.
Level 1,fair,fair,"noun: an event at which things are displayed or sold, and games and rides are provided as entertainment",We were in charge of selling tickets for rides on the Ferris wheel at the fair.
Level 1,fate,fayt,noun: a force outside your control that seems to control the things that happen to you,We can't do anything else -- we will just have to leave the situation to fate.
Level 1,fleet,fleet,"noun: a large group of naval ships, usually under the command of one officer",The French fleet was attacked by pirates.
Level 1,front,frunt,noun: the part or surface facing forward or most often seen,The stairs at the front of the house get slippery when it rains.
Level 1,goat,goht,"noun: a small cud-chewing animal with horns, which is able to live in rocky mountainous areas and is used as a farm animal in many countries",My aunt's goat often gets into trouble for eating the clothes drying on the line instead of the grass.
Level 1,holy,hoh-lee,adjective: specially recognised as or declared sacred,Our family commemorates the holy festival of Passover each year.
Level 1,left,left,adjective: The left side of something or someone is the side which is turned toward the west when they are facing north,"In Australia, cars drive on the left side of the road."
Level 1,letter,let-uh,"noun: a message in writing or printing, addressed to a person or group",She received a letter from her friend in Vietnam.
Level 1,mail,mayl,noun: letters and packages sent by post,I received three birthday cards in the mail this morning.
Level 1,marble,mah-buhl,noun: a small glass ball you use to play a game,I need to knock my opponent's marble out of the way in order to win the game.
Level 1,monster,mon-stuh,noun: someone or something that is frighteningly cruel,The monster in the film was extremely scary.
Level 1,mood,moohd,noun: a frame of mind or feeling at a particular time,My brother is a great person to be around because he is always in a good mood.
Level 1,pain,payn,noun: a feeling of suffering or hurt,The pain in his leg made walking difficult.
Level 1,path,pahth,noun: a narrow way for walking,He ran up the garden path towards the door.
Level 1,rare,rair,adjective: unusual or not common,It was a rare sighting of the bird.
Level 1,rash,rash,"noun: red, itchy spots or patches on the skin",He wasn't supposed to scratch his rash even though it was really itchy.
Level 1,real,reel,adjective: true or actual,This story is even more exciting because you know it happened in real life.
Level 1,reap,reep,verb: to cut with a sickle or machine,We have a big harvester on our farm now to reap the wheat.
Level 1,royal,roy-uhl,adjective: having to do with a king or queen,People were excited by the royal wedding.
Level 1,sale,sayl,noun: the act of selling,I got $50 from the sale of my bike.
Level 1,shake,shayk,verb: to move backwards and forwards with quick short movements,The instructions said to shake the bottle before taking the medicine.
Level 1,sheep,sheep,noun: an animal which is kept for its meat and thick wool,The dog managed to get the flock into the pen except for one stubborn sheep.
Level 1,shine,shuyn,verb: to point or direct light in order to see something,If you shine the torch in here we might be able to find the key.
Level 1,shoe,shooh,"noun: a covering, often made of leather, for your foot",My shoe has a hole in it and now my foot is wet.
Level 1,since,sins,adverb: from then until now,We have been good friends since we started school.
Level 1,skim,skim,"verb: to move over something in a quick, light way",Look how the birds skim across the lake.
Level 1,smile,smuyl,verb: to show you are happy by making your mouth wider and turning it up at the corners,We all had to smile for the camera.
Level 1,snore,snaw,verb: to breathe with a loud rumbling noise while you are sleeping,I'm going to sleep in a different tent because you snore!
Level 1,snow,snoh,noun: frozen rain drops which fall to the ground as tiny white flakes,We didn't see any snow until we were halfway up the mountain.
Level 1,spider,spuy-duh,"noun: an eight-legged creature, like an insect but without wings, which usually spins a web",We watched in fascination as the spider spun its web.
Level 1,spine,spuyn,noun: the column of bones in the back,Mum has hurt her spine and has to rest until it is better.
Level 1,spoon,spoohn,"noun: a utensil with a rounded end attached to a handle, which is used for stirring or lifting food",I forgot to take a spoon camping with me so I couldn't eat my soup.
Level 1,stamp,stamp,"noun: a small label which is sticky on one side, which you attach to letters and parcels to pay for the postage",I'll have to buy a stamp before I can post this letter.
Level 1,start,staht,verb: to do something you were not doing before and keep doing it,The crowd was silent as the race was about to start.
Level 1,steel,steel,noun: iron mixed with carbon and other metals so that it is very hard and strong,The frames of most houses are made of steel.
Level 1,swag,swag,noun: a bundle or roll of belongings carried on the shoulders by someone travelling in the bush,Everything the camper needed was in his swag.
Level 1,tact,takt,noun: a sense of the right time to do or say something,He had the tact to leave her alone when she heard the news.
Level 1,tail,tayl,"noun: the end of the backbone in some animals, especially when it forms a separate movable part of the body, as with cats, dogs, horses, and so on",We knew the cat was angry because its tail was swishing vigorously from side to side.
Level 1,tide,tuyd,"noun: the slow rise and fall of the ocean, which happens twice each day","When the tide is low, you can see all the shells washed up on the shore."
Level 1,total,toh-tuhl,noun: the result you get when you add up different amounts,We added up all the money we had saved to see what the total was.
